"invoiceno","invoicedate","customer_id","employee_id"
"561542",2011-07-28 10:09:00.000,15105,35
"573334",2011-10-30 11:35:00.000,12912,54
"538205",2010-12-10 11:24:00.000,12748,9
"560416",2011-07-18 14:40:00.000,14798,53
C562122,2011-08-02 17:18:00.000,14857,56
"577727",2011-11-21 12:43:00.000,15671,55
"559112",2011-07-06 11:59:00.000,17315,60
"568951",2011-09-29 15:26:00.000,17724,54
"566558",2011-09-13 11:51:00.000,15311,34
"551417",2011-04-28 13:41:00.000,15632,54
"577475",2011-11-20 11:30:00.000,15152,35
"552904",2011-05-12 11:07:00.000,16013,35
"542902",2011-02-01 14:43:00.000,16011,18
"559370",2011-07-08 10:01:00.000,17042,56
"575867",2011-11-11 12:44:00.000,15034,18
"558053",2011-06-24 14:33:00.000,15027,55
"567484",2011-09-20 13:52:00.000,17340,36
C562110,2011-08-02 15:46:00.000,16316,56
"559320",2011-07-07 14:18:00.000,13208,9
"544306",2011-02-17 13:57:00.000,13085,36
"552139",2011-05-06 11:55:00.000,14659,60
"556829",2011-06-15 10:51:00.000,12809,60
C557946,2011-06-23 16:13:00.000,17340,18
"572986",2011-10-27 10:51:00.000,12681,34
"545596",2011-03-04 10:49:00.000,14447,56
C566263,2011-09-11 13:01:00.000,14606,35
"567943",2011-09-22 19:33:00.000,14702,60
C544427,2011-02-18 15:42:00.000,17612,59
"577813",2011-11-22 09:06:00.000,14297,56
"543989",2011-02-15 09:52:00.000,12415,53
"565853",2011-09-07 13:19:00.000,13756,55
"537894",2010-12-09 10:16:00.000,12621,36
"578096",2011-11-22 17:26:00.000,12936,59
"576190",2011-11-14 11:46:00.000,15039,33
"557349",2011-06-20 10:34:00.000,16717,55
"553952",2011-05-20 10:50:00.000,13391,34
"538379",2010-12-12 11:26:00.000,17126,36
C578276,2011-11-23 13:48:00.000,17511,34
"550312",2011-04-17 11:18:00.000,13089,33
"545517",2011-03-03 12:20:00.000,12727,53
"556721",2011-06-14 11:23:00.000,15218,55
"544320",2011-02-17 15:40:00.000,17381,53
"580678",2011-12-05 14:49:00.000,18015,59
C572449,2011-10-24 12:34:00.000,14428,9
C580703,2011-12-05 16:26:00.000,16705,36
"563680",2011-08-18 12:06:00.000,18272,55
"555551",2011-06-05 13:32:00.000,14696,9
"553867",2011-05-19 14:19:00.000,17306,35
C579186,2011-11-28 15:30:00.000,13238,33
"558484",2011-06-30 10:09:00.000,14267,33
"577743",2011-11-21 13:44:00.000,17006,55
"574308",2011-11-03 16:45:00.000,16409,18
"574550",2011-11-04 15:18:00.000,12484,52
"580974",2011-12-06 15:17:00.000,14293,18
"558699",2011-07-01 12:17:00.000,12494,34
"574959",2011-11-08 10:09:00.000,17886,53
