"invoice_product_id","quantity","stockcode","invoiceno"
1,6,"85123A","536365"
2,6,"71053","536365"
3,8,"84406B","536365"
4,6,"84029G","536365"
5,6,"84029E","536365"
6,2,"22752","536365"
7,6,"21730","536365"
8,6,"22633","536366"
9,6,"22632","536366"
10,32,"84879","536367"
11,6,"22745","536367"
12,6,"22748","536367"
13,8,"22749","536367"
14,6,"22310","536367"
15,6,"84969","536367"
16,3,"22623","536367"
17,2,"22622","536367"
18,3,"21754","536367"
19,3,"21755","536367"
20,4,"21777","536367"
21,4,"48187","536367"
22,6,"22960","536368"
23,3,"22913","536368"
24,3,"22912","536368"
25,3,"22914","536368"
26,3,"21756","536369"
27,24,"22728","536370"
28,24,"22727","536370"
29,12,"22726","536370"
30,12,"21724","536370"
31,24,"21883","536370"
32,48,"10002","536370"
33,24,"21791","536370"
34,18,"21035","536370"
35,24,"22326","536370"
36,24,"22629","536370"
37,24,"22659","536370"
38,24,"22631","536370"
39,20,"22661","536370"
40,24,"21731","536370"
41,24,"22900","536370"
42,12,"21913","536370"
43,24,"22540","536370"
44,24,"22544","536370"
45,36,"22492","536370"
46,80,"22086","536371"
47,6,"22632","536372"
48,6,"22633","536372"
49,6,"85123A","536373"
50,6,"71053","536373"
51,8,"84406B","536373"
52,6,"20679","536373"
53,6,"37370","536373"
54,6,"21871","536373"
55,6,"21071","536373"
56,6,"21068","536373"
57,2,"82483","536373"
58,4,"82486","536373"
59,6,"82482","536373"
60,6,"82494L","536373"
61,6,"84029G","536373"
62,6,"84029E","536373"
63,2,"22752","536373"
64,6,"21730","536373"
65,32,"21258","536374"
66,6,"85123A","536375"
67,6,"71053","536375"
68,8,"84406B","536375"
69,6,"20679","536375"
70,6,"37370","536375"
71,6,"21871","536375"
72,6,"21071","536375"
73,6,"21068","536375"
74,2,"82483","536375"
75,6,"21844","536398"
76,4,"82486","536375"
77,6,"82482","536375"
78,6,"82494L","536375"
79,6,"84029G","536375"
80,6,"84029E","536375"
81,2,"22752","536375"
82,6,"21730","536375"
83,48,"22114","536376"
84,64,"21733","536376"
85,6,"22632","536377"
86,6,"22633","536377"
87,10,"22386","536378"
88,10,"85099C","536378"
89,10,"21033","536378"
90,10,"20723","536378"
91,12,"84997B","536378"
92,6,"84997C","536378"
93,12,"21094","536378"
94,10,"20725","536378"
95,6,"21559","536378"
96,6,"22352","536378"
97,120,"21212","536378"
98,24,"21975","536378"
99,24,"21977","536378"
100,24,"84991","536378"
101,6,"84519A","536378"
102,48,"85183B","536378"
103,96,"85071B","536378"
104,10,"21931","536378"
105,10,"21929","536378"
106,24,"22961","536380"
107,23,"22139","536381"
108,5,"84854","536381"
109,10,"22411","536381"
110,2,"82567","536381"
111,6,"21672","536381"
112,24,"22774","536381"
113,24,"22771","536381"
114,1,"71270","536381"
115,1,"22262","536381"
116,1,"22637","536381"
117,10,"21934","536381"
118,3,"21169","536381"
119,1,"21166","536381"
120,2,"21175","536381"
121,1,"37444A","536381"
122,1,"37444C","536381"
123,4,"22086","536381"
124,1,"22083","536381"
125,6,"84971S","536381"
126,3,"71270","536381"
127,2,"47580","536381"
128,1,"22261","536381"
129,1,"84832","536381"
130,1,"22644","536381"
131,1,"21533","536381"
132,2,"21557","536381"
133,2,"15056BL","536381"
134,2,"15056N","536381"
135,4,"22646","536381"
136,1,"22176","536381"
137,1,"22438","536381"
138,2,"21731","536381"
139,3,"22778","536381"
140,36,"22719","536381"
141,10,"21523","536381"
142,12,"10002","536382"
143,8,"21912","536382"
144,12,"21832","536382"
145,10,"22411","536382"
146,10,"22379","536382"
147,50,"22381","536382"
148,8,"22798","536382"
149,4,"22726","536382"
150,12,"22926","536382"
151,2,"22839","536382"
152,2,"22838","536382"
153,4,"22783","536382"
154,-1,"35004C",C536383
155,3,"82484","536384"
156,48,"84755","536384"
157,12,"22464","536384"
158,6,"21324","536384"
159,12,"22457","536384"
160,40,"22469","536384"
161,40,"22470","536384"
162,6,"22224","536384"
163,2,"21340","536384"
164,4,"22189","536384"
165,3,"22427","536384"
166,6,"22428","536384"
167,8,"22424","536384"
168,1,"22783","536385"
169,12,"22961","536385"
170,6,"22960","536385"
171,10,"22663","536385"
172,12,"85049A","536385"
173,2,"22168","536385"
174,10,"22662","536385"
175,36,"84880","536386"
176,100,"85099C","536386"
177,100,"85099B","536386"
178,192,"79321","536387"
179,192,"22780","536387"
180,192,"22779","536387"
181,432,"22466","536387"
182,432,"21731","536387"
183,3,"21754","536388"
184,3,"21755","536388"
185,2,"21523","536388"
186,3,"21363","536388"
187,3,"21411","536388"
188,6,"22318","536388"
189,12,"22464","536388"
190,12,"22915","536388"
191,12,"22922","536388"
192,12,"22969","536388"
193,12,"22923","536388"
194,4,"21115","536388"
195,12,"22469","536388"
196,12,"22242","536388"
197,6,"22941","536389"
198,8,"21622","536389"
199,12,"21791","536389"
200,6,"35004C","536389"
201,4,"35004G","536389"
202,6,"85014B","536389"
203,3,"85014A","536389"
204,2,"22193","536389"
205,4,"22726","536389"
206,4,"22727","536389"
207,2,"22192","536389"
208,2,"22191","536389"
209,24,"22195","536389"
210,24,"22196","536389"
211,2,"22941","536390"
212,12,"22960","536390"
213,12,"22961","536390"
214,48,"22962","536390"
215,48,"22963","536390"
216,8,"22968","536390"
217,144,"84970S","536390"
218,40,"22910","536390"
219,288,"20668","536390"
220,64,"85123A","536390"
221,100,"22197","536390"
222,50,"22198","536390"
