"invoiceno","invoicedate","customer_id","employee_id"
"536365",2010-12-01 08:26:00.000,17850,36
"536366",2010-12-01 08:28:00.000,17850,9
"536367",2010-12-01 08:34:00.000,13047,56
"536368",2010-12-01 08:34:00.000,13047,9
"536369",2010-12-01 08:35:00.000,13047,53
"536370",2010-12-01 08:45:00.000,12583,56
"536371",2010-12-01 09:00:00.000,13748,60
"536372",2010-12-01 09:01:00.000,17850,59
"536373",2010-12-01 09:02:00.000,17850,53
"536374",2010-12-01 09:09:00.000,15100,53
"536375",2010-12-01 09:32:00.000,17850,53
"536376",2010-12-01 09:32:00.000,15291,54
"536377",2010-12-01 09:34:00.000,17850,9
"536378",2010-12-01 09:37:00.000,14688,33
"536380",2010-12-01 09:41:00.000,17809,53
"536381",2010-12-01 09:41:00.000,15311,18
C536379,2010-12-01 09:41:00.000,14527,18
"536382",2010-12-01 09:45:00.000,16098,35
C536383,2010-12-01 09:49:00.000,15311,53
"536384",2010-12-01 09:53:00.000,18074,55
"536385",2010-12-01 09:56:00.000,17420,56
"536386",2010-12-01 09:57:00.000,16029,35
"536387",2010-12-01 09:58:00.000,16029,18
"536388",2010-12-01 09:59:00.000,16250,36
"536389",2010-12-01 10:03:00.000,12431,35
"536390",2010-12-01 10:19:00.000,17511,55
C536391,2010-12-01 10:24:00.000,17548,9
"536392",2010-12-01 10:29:00.000,13705,34
"536393",2010-12-01 10:37:00.000,13747,18
"536394",2010-12-01 10:39:00.000,13408,9
"536395",2010-12-01 10:47:00.000,13767,9
"536396",2010-12-01 10:51:00.000,17850,60
"536397",2010-12-01 10:51:00.000,17924,9
"536398",2010-12-01 10:52:00.000,13448,34
"536399",2010-12-01 10:52:00.000,17850,60
"536400",2010-12-01 10:53:00.000,13448,33
"536401",2010-12-01 11:21:00.000,15862,18
"536402",2010-12-01 11:22:00.000,15513,59
"536403",2010-12-01 11:27:00.000,12791,54
"536404",2010-12-01 11:29:00.000,16218,56
"536405",2010-12-01 11:32:00.000,14045,60
"536406",2010-12-01 11:33:00.000,17850,36
"536407",2010-12-01 11:34:00.000,17850,54
"536408",2010-12-01 11:41:00.000,14307,54
"536409",2010-12-01 11:45:00.000,17908,34
"536412",2010-12-01 11:49:00.000,17920,56
"536415",2010-12-01 11:57:00.000,12838,59
"536416",2010-12-01 11:58:00.000,13255,60
"536420",2010-12-01 12:03:00.000,16583,60
"536423",2010-12-01 12:08:00.000,18085,52
"536425",2010-12-01 12:08:00.000,13758,54
"536437",2010-12-01 12:12:00.000,13694,54
"536446",2010-12-01 12:15:00.000,15983,52
"536460",2010-12-01 12:22:00.000,14849,54
"536463",2010-12-01 12:22:00.000,14849,33
"536464",2010-12-01 12:23:00.000,17968,56
"536466",2010-12-01 12:23:00.000,14849,60
"536477",2010-12-01 12:27:00.000,16210,33
"536488",2010-12-01 12:31:00.000,17897,55
"536500",2010-12-01 12:35:00.000,17377,56
"536502",2010-12-01 12:36:00.000,16552,18
"536508",2010-12-01 12:38:00.000,17181,56
C536506,2010-12-01 12:38:00.000,17897,33
"536514",2010-12-01 12:40:00.000,17951,60
"536520",2010-12-01 12:43:00.000,14729,54
